frame,object_type,confidence,tracking_id,x1,y1,x2,y2,license_plate_confidence,mx1,my1,mx2,my2,license_plate_text
1,bus,0.94,1,1402,52,1918,476,,,,,,
2,bus,0.93,1,1401,56,1918,471,,,,,,
3,bus,0.94,1,1395,64,1918,467,,,,,,
4,bus,0.9,1,1389,67,1918,467,,,,,,
5,bus,0.93,1,1390,72,1918,464,,,,,,
6,bus,0.93,1,1392,76,1918,462,,,,,,
7,bus,0.93,1,1392,79,1918,461,,,,,,
8,bus,0.94,1,1389,84,1918,458,,,,,,
9,bus,0.94,1,1386,88,1918,457,,,,,,
10,bus,0.94,1,1383,92,1918,457,,,,,,
11,bus,0.94,1,1382,96,1918,456,0.41,1755,394,1816,414,332762
12,bus,0.93,1,1382,98,1917,455,0.41,1743,393,1803,413,332762
13,bus,0.93,1,1382,101,1915,452,0.41,,,,,332762
14,bus,0.93,1,1381,104,1902,451,0.41,1722,391,1781,412,332762
15,bus,0.92,1,1380,107,1888,451,0.44,1711,390,1769,410,3222
16,bus,0.92,1,1378,111,1872,450,0.55,1703,388,1760,409,322222
17,bus,0.92,1,1376,114,1866,449,0.55,1691,388,1749,408,322222
18,bus,0.91,1,1376,117,1858,450,0.86,1681,386,1738,405,3222
19,bus,0.92,1,1375,120,1840,448,0.86,1674,385,1729,405,3222
20,bus,0.93,1,1374,125,1826,446,0.86,1666,385,1718,402,3222
21,bus,0.92,1,1372,127,1816,444,0.86,1658,384,1710,404,3222
22,bus,0.92,1,1371,132,1809,443,0.86,,,,,3222
23,bus,0.91,1,1369,135,1808,442,0.86,1641,383,1692,401,3222
24,bus,0.91,1,1369,140,1803,441,0.86,,,,,3222
25,bus,0.89,1,1368,141,1786,441,0.86,,,,,3222
26,bus,0.9,1,1367,143,1770,442,,,,,,
27,bus,0.9,1,1366,145,1759,441,,,,,,
28,bus,0.9,1,1364,148,1745,438,0.86,,,,,3222
29,bus,0.9,1,1363,150,1736,436,0.86,1599,378,1647,395,3222
30,bus,0.9,1,1363,152,1731,437,0.86,1593,378,1641,395,3222
31,bus,0.9,1,1361,153,1727,433,0.86,,,,,3222
32,bus,0.89,1,1360,155,1726,431,0.86,1582,376,1628,392,3222
33,bus,0.92,1,1360,158,1712,426,0.86,1576,375,1620,390,3222
34,bus,0.93,1,1358,160,1701,426,0.86,,,,,3222
35,bus,0.92,1,1355,161,1695,429,0.86,1564,374,1610,389,3222
36,bus,0.91,1,1355,163,1691,429,0.86,1560,372,1603,388,3222
37,bus,0.92,1,1355,166,1682,427,,,,,,
38,bus,0.92,1,1354,166,1674,425,,,,,,
39,bus,0.91,1,1352,168,1668,424,,,,,,
40,bus,0.9,1,1351,167,1661,422,,,,,,
41,bus,0.9,1,1349,169,1655,421,,,,,,
42,bus,0.92,1,1349,172,1649,418,,,,,,
43,bus,0.93,1,1346,175,1644,416,,,,,,
44,bus,0.93,1,1344,176,1637,415,,,,,,
45,bus,0.93,1,1343,178,1635,414,,,,,,
46,bus,0.92,1,1342,179,1630,413,0.86,,,,,3222
47,bus,0.92,1,1341,181,1626,412,,,,,,
48,bus,0.92,1,1341,182,1623,414,,,,,,
49,bus,0.92,1,1340,184,1615,413,,,,,,
50,bus,0.92,1,1340,185,1612,412,0.86,,,,,3222
51,bus,0.92,1,1340,188,1603,411,,,,,,
52,bus,0.94,1,1337,188,1597,411,,,,,,
53,bus,0.92,1,1336,189,1595,411,,,,,,
54,bus,0.92,1,1335,190,1591,411,,,,,,
55,bus,0.92,1,1335,191,1590,409,0.86,,,,,3222
56,bus,0.9,1,1334,191,1584,409,,,,,,
57,bus,0.9,1,1334,192,1579,408,,,,,,
58,bus,0.91,1,1334,192,1575,407,,,,,,
59,bus,0.91,1,1333,193,1570,406,,,,,,
60,bus,0.9,1,1332,195,1567,404,,,,,,
61,bus,0.89,1,1333,195,1564,404,,,,,,
62,bus,0.91,1,1333,196,1561,404,,,,,,
63,bus,0.9,1,1333,198,1555,405,,,,,,
64,bus,0.88,1,1330,198,1551,405,,,,,,
65,bus,0.86,1,1328,198,1548,403,,,,,,
66,bus,0.84,1,1327,199,1543,401,,,,,,
67,bus,0.81,1,1327,200,1538,398,,,,,,
68,bus,0.77,1,1325,201,1536,396,,,,,,
69,bus,0.76,1,1324,202,1533,396,,,,,,
70,bus,0.73,1,1324,204,1530,395,,,,,,
71,bus,0.75,1,1324,205,1527,397,,,,,,
72,bus,0.76,1,1322,205,1524,396,,,,,,
73,bus,0.76,1,1320,208,1523,394,,,,,,
74,bus,0.78,1,1320,209,1520,393,,,,,,
75,bus,0.76,1,1320,210,1516,392,,,,,,
76,bus,0.77,1,1319,210,1513,392,,,,,,
77,bus,0.73,1,1319,211,1510,391,,,,,,
81,bus,0.76,1,1317,214,1500,390,,,,,,
82,bus,0.78,1,1316,215,1499,390,,,,,,
83,bus,0.77,1,1316,215,1497,391,,,,,,
84,bus,0.77,1,1315,215,1495,390,,,,,,
85,bus,0.72,1,1314,215,1492,388,,,,,,
96,person,0.76,3,0,236,50,490,,,,,,
97,person,0.79,3,0,234,57,488,,,,,,
98,person,0.83,3,0,232,66,489,,,,,,
98,bus,0.74,1,1310,224,1463,380,,,,,,
99,person,0.82,3,0,234,71,490,,,,,,
99,bus,0.71,1,1310,225,1462,380,,,,,,
100,person,0.82,3,0,236,76,491,,,,,,
100,bus,0.78,1,1309,226,1460,380,,,,,,
101,person,0.83,3,0,235,77,493,,,,,,
101,bus,0.8,1,1308,226,1459,379,,,,,,
102,person,0.86,3,0,233,78,496,,,,,,
103,person,0.85,3,0,231,82,494,,,,,,
103,bus,0.78,1,1308,228,1457,379,,,,,,
104,person,0.88,3,0,231,89,494,,,,,,
104,bus,0.76,1,1309,229,1456,379,,,,,,
105,person,0.83,3,2,232,96,491,,,,,,
106,person,0.86,3,9,230,104,492,,,,,,
106,bus,0.77,1,1308,229,1453,379,,,,,,
107,person,0.88,3,19,229,114,491,,,,,,
107,bus,0.75,1,1308,230,1450,379,,,,,,
108,person,0.88,3,27,229,131,492,,,,,,
109,person,0.85,3,30,229,147,491,,,,,,
110,person,0.86,3,34,230,156,490,,,,,,
110,bus,0.76,1,1304,232,1445,378,,,,,,
111,person,0.87,3,38,232,163,488,,,,,,
111,bus,0.75,1,1303,233,1443,377,,,,,,
112,person,0.86,3,40,234,164,486,,,,,,
113,person,0.85,3,40,239,168,487,,,,,,
114,person,0.85,3,45,241,169,488,,,,,,
115,person,0.83,3,51,240,170,490,,,,,,
116,person,0.84,3,61,240,171,488,,,,,,
117,person,0.81,3,74,239,171,485,,,,,,
118,person,0.79,3,87,238,172,482,,,,,,
119,person,0.75,3,95,237,174,481,,,,,,
120,person,0.73,3,101,239,179,479,,,,,,
121,person,0.77,3,107,239,184,478,,,,,,
122,person,0.77,3,111,241,191,479,,,,,,
123,person,0.81,3,113,242,199,479,,,,,,
124,person,0.8,3,115,245,207,477,,,,,,
125,person,0.79,3,117,248,213,477,,,,,,
126,person,0.79,3,121,248,217,475,,,,,,
127,person,0.81,3,125,242,221,475,,,,,,
128,person,0.81,3,130,239,223,475,,,,,,
128,bus,0.71,1,1289,239,1419,371,,,,,,
129,person,0.78,3,141,244,226,474,,,,,,
129,bus,0.75,1,1288,241,1417,371,,,,,,
130,person,0.75,3,148,244,229,472,,,,,,
130,bus,0.7,1,1288,241,1416,370,,,,,,
131,person,0.79,3,156,244,233,471,,,,,,
132,person,0.83,3,161,247,239,470,,,,,,
132,bus,0.71,1,1287,241,1413,369,,,,,,
133,person,0.83,3,167,245,245,470,,,,,,
133,bus,0.7,1,1287,242,1411,368,,,,,,
134,person,0.85,3,171,241,251,469,,,,,,
135,person,0.85,3,178,240,259,467,,,,,,
136,person,0.82,3,182,241,273,467,,,,,,
137,person,0.82,3,185,246,279,468,,,,,,
137,bus,0.71,1,1286,246,1408,367,,,,,,
138,person,0.83,3,188,249,282,468,,,,,,
139,person,0.85,3,191,255,284,469,,,,,,
140,person,0.86,3,194,256,287,469,,,,,,
140,bus,0.7,1,1284,249,1404,368,,,,,,
141,person,0.86,3,196,261,288,468,,,,,,
141,bus,0.7,1,1283,249,1403,367,,,,,,
142,person,0.86,3,200,257,289,468,,,,,,
143,person,0.84,3,205,254,290,466,,,,,,
144,person,0.82,3,212,254,290,465,,,,,,
